country_code,year,political_stability,gdp_per_capita
EUU,2019,,35374.1403676934
EUU,2020,,34694.7035869195
EUU,2021,,39206.9791776084
EUU,2022,,38066.8844892624
FCS,2015,,1663.16200127279
FCS,2016,,1491.08080315915
FCS,2017,,1549.60952933559
FCS,2018,,1634.92965875473
FCS,2019,,1861.6533045303
FCS,2020,,1618.4798041022
FCS,2021,,1711.40128929758
FCS,2022,,1850.91743054769
FIN,2015,1.1347824,42560.3456767103
FIN,2016,1.0609919,43451.2562442158
FIN,2017,1.1388152,46085.0174739036
FIN,2018,1.041505,49654.2497035329
FIN,2019,0.9978349,48358.1807773701
FIN,2020,1.1572607,48828.6846862799
FIN,2021,1.1287431,53099.1351400148
FIN,2022,1.0892287,50440.560224974
FJI,2015,0.3263655,5097.53106864695
FJI,2016,0.7205988,5363.79026679243
FJI,2017,0.3819841,5826.84814459328
FJI,2018,0.6984111,6085.41979485376
FJI,2019,0.6881602,5842.07344577597
FJI,2020,0.6004415,4620.6457238014
FJI,2021,0.6663534,4536.73312110335
FJI,2022,0.782553,5414.12092119088
FRA,2015,0.1735665,36702.4323733379
FRA,2016,-0.0415329,37024.2157133669
FRA,2017,0.229972,38687.1626407164
FRA,2018,0.1043516,41418.1766484844
FRA,2019,0.2040672,40408.2848574751
FRA,2020,0.1270887,39169.8606000707
FRA,2021,0.1241525,43725.0999521245
FRA,2022,0.0198376,40988.6396406579
FRO,2015,,52637.1903526574
FRO,2016,,56875.2803813296
FRO,2017,,59387.353086482
FRO,2018,,62526.4908515743
FRO,2019,,63068.2872688483
FRO,2020,,62243.1905561324
FRO,2021,,69415.1853254579
FRO,2022,,67058.2022648126
FSM,2015,1.071904,2853.07643587028
FSM,2016,1.0686461,2979.60119184048
FSM,2017,1.0690453,3279.10779039285
FSM,2018,1.2058557,3566.58690371125
FSM,2019,1.009383,3572.65918282222
FSM,2020,1.1206831,3362.02802120524
FSM,2021,1.2268624,3508.22314197664
FSM,2022,1.5042238,3710.12451611752
GAB,2015,-0.1148078,7047.12654634355
GAB,2016,-0.534579199999999,6677.07003901644
GAB,2017,-0.4524644,6921.73373135624
GAB,2018,-0.393451,7624.2775233771
GAB,2019,-0.2805716,7441.1786472281
GAB,2020,-0.2194997,6605.80346077565
GAB,2021,-0.28203,8181.40914134656
GAB,2022,-0.1324826,8409.2074145028
GBR,2015,0.537112,45255.3449216209
GBR,2016,0.4498582,41257.9085545556
GBR,2017,0.4406625,40916.8115070354
GBR,2018,0.2825929,43702.9976303165
GBR,2019,0.5681497,43158.7411267323
GBR,2020,0.5102213,40812.6794663879
GBR,2021,0.4363658,47691.3768799404
GBR,2022,0.3676912,47057.043229179
GEO,2015,-0.090598,4086.6223465965
GEO,2016,-0.0614684,4143.40125686315
GEO,2017,-0.1125587,4418.75206546679
GEO,2018,-0.0948569,4804.0546040444
GEO,2019,-0.134771,4741.2832715876
GEO,2020,-0.1271941,4300.85701291207
GEO,2021,-0.2017684,5083.60695484577
GEO,2022,-0.100034699999999,6729.84659930283
GHA,2015,-0.0228697,1722.77282833606
GHA,2016,-0.128208,1912.47991339951
GHA,2017,0.0663948999999999,2012.28662641265
GHA,2018,-0.032042,2195.32166016377
GHA,2019,0.0133997,2186.65822682613
GHA,2020,0.0588855,2195.45481659987
